year,indicator_code,indicator_name,value
2011,NY.GDP.PCAP.CD,GDP per Capita (current US$),837.336944695647
2011,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.501503282369
2011,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),46.7735957702428
2011,SL.EMP.SELF.ZS,Self-employed (% of total employment),62.0991658575618
2011,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.941
2011,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),61.2768062357384
2011,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),37.9008376471426
2011,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.0336837102759
2011,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),33.1927100053692
2011,SL.TLF.TOTL.IN,"Labor Force, Total",59281113.0
2011,SL.UEM.TOTL.ZS,Unemployment Rate (%),3.737
2011,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),33.5821917595726
2011,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),62.0740346987153
2011,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),4.34377354171206
2011,SP.POP.GROW,Population Growth (annual %),0.908525895582217
2011,SP.POP.TOTL,Total Population,153591076.0
2011,SP.RUR.TOTL,Rural Population,110416600.0
2011,SP.URB.TOTL,Urban Population,43174476.0
2012,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),853.69080005025
2012,NY.GDP.PCAP.CD,GDP per Capita (current US$),859.680536375497
2012,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.50548020192592
2012,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),45.9180677941619
2012,SL.EMP.SELF.ZS,Self-employed (% of total employment),61.8560248177031
2012,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.3
2012,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),60.4298109620797
2012,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),38.1439786646426
2012,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.4330171201156
2012,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),33.6489046386861
