Year,Value,Indicator,Indicator_Code,Country
YR2012,26877564843.4222,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2012,2.64399336692833,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2012,1.82373354611352,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2012,0.463362848345637,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Bangladesh
YR2012,105405034.0,High-technology exports (current US$),TX.VAL.TECH.CD,Bangladesh
YR2012,0.417876025550295,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2012,92.7971855138084,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2012,2.85628020151087,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2012,2.62907631834501,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2012,1.24281630699715,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2012,0.73166483362904,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2012,3.38871780172685,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
